url,doc_id,title,audience,category,language,document_version,license_or_permission
https://help.shopee.vn/portal/4/article/77244,security-policy,chính sách bảo mật,buyer,security-policy,vi,not-stated,public-source
https://help.shopee.vn/portal/4/article/77251-CHÍNH-SÁCH-TRẢ-HÀNG-VÀ-HOÀN-TIỀN,return-refund-policy,chính sách trả hàng và hoàn tiền,buyer,return-refund-policy,vi,not-stated,public-source
https://help.shopee.vn/portal/4/article/77245-QUY-CHẾ-HOẠT-ĐỘNG-SÀN-THƯƠNG-MẠI-ĐIỆN-TỬ-SHOPEE.VN,terms-of-service,quy chế hoạt động sàn thương mại điện tử,buyer,terms-of-service,vi,not-stated,public-source
https://help.shopee.vn/portal/4/article/77243-ĐIỀU-KHOẢN-DỊCH-VỤ,terms-of-use,điều khoản dịch vụ,buyer,terms-of-use,vi,not-stated,public-source
